location,total_sqft,bath,balcony,price,bhk
Electronic City,770.0,1.0,1.0,40.0,2
Haralur Road,1875.0,3.0,2.0,110.0,3
Yelahanka,602.0,1.0,1.0,26.0,1
Whitefield,1150.0,2.0,1.0,70.0,2
Whitefield,1820.0,3.0,2.0,140.0,3
Kanakpura Road,1665.0,3.0,2.0,86.58,3
Yelahanka,1025.0,2.0,1.0,44.0,2
Hebbal,1760.0,3.0,2.0,123.0,3
Thanisandra,1491.0,3.0,1.0,88.0,3
Bannerghatta Road,1000.0,2.0,1.0,50.0,2
Haralur Road,1890.0,3.0,2.0,84.0,3
Whitefield,1240.0,2.0,2.0,41.0,2
Sarjapur  Road,1320.0,2.0,1.0,100.0,2
Kanakpura Road,1673.0,3.0,2.0,115.0,3
Hennur Road,1445.0,2.0,1.0,105.0,3
Raja Rajeshwari Nagar,1530.0,3.0,2.0,57.0,3
Uttarahalli,1617.0,3.0,3.0,66.68,3
Whitefield,1116.0,2.0,1.0,51.91,2
Electronic City,2093.0,4.0,2.0,134.0,4
Sarjapur  Road,1787.0,3.0,2.0,125.0,3
Kanakpura Road,700.0,2.0,2.0,36.0,2
Hennur Road,1192.0,2.0,1.0,62.0,3
Marathahalli,1135.0,2.0,2.0,60.0,2
Whitefield,1870.0,3.0,2.0,138.0,3
7th Phase JP Nagar,1070.0,2.0,1.0,42.79,2
Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.1,2
Electronic City,1128.0,2.0,1.0,65.0,2
7th Phase JP Nagar,1370.0,2.0,1.0,54.79,3
Whitefield,1496.0,2.0,1.0,71.81,3
Sarjapur  Road,1700.0,3.0,3.0,108.0,3
Uttarahalli,1330.0,2.0,1.0,47.0,3
Bannerghatta Road,1445.0,3.0,2.0,95.0,3
Hebbal,1075.0,2.0,0.0,52.0,2
7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3
7th Phase JP Nagar,1236.0,2.0,2.0,61.33,2
Hennur Road,1015.0,2.0,2.0,50.0,2
Electronic City,1190.0,2.0,1.0,42.0,2
Uttarahalli,1250.0,2.0,3.0,50.0,3
Hennur Road,1305.0,2.0,1.0,77.0,3
Hebbal,1255.0,2.0,1.0,77.68,3
Yelahanka,1590.0,2.0,2.0,54.0,3
Hebbal,1252.0,2.0,1.0,92.0,2
Whitefield,1200.0,2.0,1.0,46.13,2
Yelahanka,1800.0,4.0,2.0,180.0,4
Electronic City,1165.0,2.0,1.0,33.65,2
Yelahanka,1705.0,3.0,1.0,91.0,3
Kanakpura Road,1300.0,2.0,3.0,69.0,3
Hennur Road,1482.0,2.0,1.0,68.9,3
Marathahalli,607.0,1.0,1.0,35.0,1
Whitefield,1140.0,2.0,1.0,56.0,2
Haralur Road,1243.0,2.0,2.0,46.0,2
Yelahanka,1590.0,3.0,1.0,54.0,3
Kanakpura Road,1339.0,2.0,2.0,67.0,2
Yelahanka,1326.0,2.0,2.0,57.0,2
Uttarahalli,1215.0,2.0,2.0,52.85,3
Thanisandra,1948.0,4.0,2.0,129.0,4
Thanisandra,1098.0,2.0,1.0,71.0,2
Hebbal,1760.0,2.0,2.0,123.0,3
Marathahalli,1385.0,2.0,2.0,66.65,3
Marathahalli,1710.0,3.0,2.0,135.0,3
Sarjapur  Road,1230.0,2.0,1.0,65.0,2
Raja Rajeshwari Nagar,1303.0,2.0,2.0,55.79,2
Electronic City Phase II,1155.0,2.0,1.0,57.0,2
Marathahalli,1678.0,3.0,3.0,70.0,3
Electronic City Phase II,920.0,2.0,2.0,26.0,2
Whitefield,1116.0,2.0,3.0,48.76,2
7th Phase JP Nagar,2095.0,3.0,2.0,150.0,3
Haralur Road,1810.0,3.0,2.0,97.83,3
Marathahalli,1075.0,2.0,2.0,52.43,2
Sarjapur  Road,1685.0,3.0,1.0,135.0,3
Electronic City Phase II,1089.0,2.0,0.0,32.67,2
Electronic City Phase II,1000.0,2.0,1.0,25.0,2
Haralur Road,1000.0,2.0,2.0,44.0,2
Thanisandra,2100.0,4.0,1.0,95.0,4
Yelahanka,1465.0,3.0,2.0,80.01,3
Sarjapur  Road,1846.0,3.0,2.0,155.0,3
Uttarahalli,1000.0,2.0,2.0,39.5,2
Sarjapur  Road,835.0,1.0,1.0,46.95,1
Whitefield,1655.0,3.0,2.0,113.0,3
Raja Rajeshwari Nagar,1610.0,3.0,2.0,74.0,3
Marathahalli,1240.0,2.0,2.0,55.0,2
Raja Rajeshwari Nagar,1500.0,3.0,2.0,88.0,3
Whitefield,1451.0,2.0,2.0,52.43,3
Electronic City,1200.0,2.0,1.0,34.65,2
Thanisandra,662.0,1.0,0.0,45.0,1
Kanakpura Road,900.0,2.0,1.0,42.0,2
Whitefield,1216.0,2.0,1.0,75.0,2
Haralur Road,1560.0,3.0,1.0,90.0,3
Marathahalli,1196.0,2.0,2.0,57.9,2
Electronic City,1320.0,2.0,1.0,38.12,3
Hennur Road,1445.0,3.0,1.0,86.56,3
Hebbal,1200.0,2.0,1.0,52.0,2
Electronic City Phase II,1160.0,2.0,1.0,33.5,2
Whitefield,1435.0,3.0,2.0,45.0,3
Thanisandra,1050.0,2.0,2.0,45.0,2
Uttarahalli,1150.0,2.0,1.0,49.0,2
Yelahanka,1566.0,3.0,2.0,97.0,3
Sarjapur  Road,1370.0,2.0,1.0,70.0,2
Marathahalli,1156.0,2.0,2.0,52.0,2
Hennur Road,1341.0,2.0,1.0,95.0,2
Hebbal,1200.0,2.0,2.0,52.0,2
Bannerghatta Road,1115.0,2.0,1.0,61.0,2
Thanisandra,1847.0,3.0,2.0,123.0,3
Sarjapur  Road,1178.0,2.0,2.0,40.43,2
Sarjapur  Road,1186.0,2.0,2.0,40.0,3
Thanisandra,1922.0,3.0,3.0,106.0,3
Electronic City Phase II,1400.0,2.0,2.0,40.43,3
Thanisandra,1651.0,3.0,3.0,97.38,3
Uttarahalli,1002.0,2.0,1.0,40.08,2
Whitefield,1346.0,2.0,1.0,96.17,2
Uttarahalli,1008.0,2.0,3.0,45.0,2
Kanakpura Road,1591.0,3.0,1.0,115.0,3
Yelahanka,1322.0,2.0,1.0,77.9,2
Electronic City,1111.0,3.0,1.0,50.0,3
Electronic City,921.0,2.0,1.0,34.0,2
Whitefield,1270.0,2.0,1.0,94.0,2
Raja Rajeshwari Nagar,1630.0,3.0,2.0,60.65,3
Hennur Road,1949.0,3.0,1.0,133.0,3
Whitefield,1140.0,2.0,2.0,41.0,2
Electronic City,1070.0,2.0,1.0,48.0,2
Electronic City,1200.0,2.0,1.0,59.0,2
Thanisandra,1185.0,2.0,2.0,44.0,2
Hennur Road,1065.0,2.0,1.0,42.6,2
Whitefield,1215.0,2.0,1.0,62.0,2
Kanakpura Road,1868.0,3.0,2.0,113.0,3
Hebbal,1204.0,2.0,2.0,45.0,2
Hebbal,1333.0,2.0,1.0,104.0,2
Thanisandra,1148.0,2.0,1.0,43.5,2
Marathahalli,1230.0,2.0,2.0,80.0,2
Hennur Road,1232.0,2.0,1.0,69.61,2
Whitefield,1485.0,3.0,2.0,65.0,3
Bannerghatta Road,595.0,1.0,1.0,33.32,1
Thanisandra,1265.0,2.0,1.0,78.0,2
Marathahalli,1200.0,2.0,2.0,60.0,2
Sarjapur  Road,2206.0,4.0,1.0,180.0,3
Sarjapur  Road,1262.0,2.0,2.0,67.0,2
Whitefield,1459.0,2.0,1.0,94.82,2
7th Phase JP Nagar,1040.0,2.0,1.0,39.52,2
Kanakpura Road,1665.0,3.0,2.0,86.58,3
Electronic City,1096.0,2.0,2.0,40.55,2
Yelahanka,1200.0,2.0,2.0,60.0,2
Sarjapur  Road,1155.0,2.0,1.0,58.0,2
Electronic City Phase II,1065.0,2.0,1.0,30.75,2
Bannerghatta Road,1280.0,2.0,2.0,60.16,2
Haralur Road,1194.0,2.0,2.0,46.0,2
Raja Rajeshwari Nagar,1140.0,2.0,2.0,39.0,2
Sarjapur  Road,1984.0,4.0,1.0,148.0,3
Haralur Road,1444.0,2.0,1.0,80.0,3
Sarjapur  Road,1216.0,2.0,2.0,70.0,2
Electronic City,1025.0,1.0,1.0,26.63,2
Raja Rajeshwari Nagar,1095.0,2.0,1.0,38.33,2
Haralur Road,1194.0,2.0,2.0,47.0,2
Electronic City,1449.0,3.0,2.0,100.0,3
7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3
Kanakpura Road,1328.0,2.0,2.0,107.0,2
Raja Rajeshwari Nagar,1200.0,4.0,0.0,220.0,4
Electronic City Phase II,630.0,1.0,1.0,28.35,1
Yelahanka,1250.0,2.0,2.0,54.0,2
Electronic City,1065.0,2.0,1.0,30.75,2
Hennur Road,1832.0,3.0,1.0,116.0,3
Whitefield,1074.0,2.0,1.0,42.79,2
Kanakpura Road,1252.0,2.0,1.0,56.32,2
Electronic City,1110.0,2.0,1.0,40.0,2
Whitefield,1697.0,3.0,2.0,94.79,3
Whitefield,1173.0,2.0,1.0,58.0,2
Yelahanka,1305.0,2.0,1.0,78.0,2
Whitefield,1040.0,2.0,1.0,48.5,2
Raja Rajeshwari Nagar,1128.0,2.0,2.0,40.0,2
7th Phase JP Nagar,1040.0,2.0,1.0,41.59,2
Raja Rajeshwari Nagar,1306.0,2.0,2.0,44.17,2
Bannerghatta Road,1365.0,3.0,1.0,76.18,3
Whitefield,1350.0,2.0,1.0,88.0,2
Kanakpura Road,1331.0,2.0,1.0,107.0,2
Marathahalli,1350.0,2.0,2.0,62.0,3
Hebbal,1645.0,3.0,2.0,117.0,3
Sarjapur  Road,1220.0,3.0,2.0,56.0,3
Whitefield,1160.0,2.0,1.0,67.0,2
Hennur Road,1065.0,2.0,1.0,42.6,2
Raja Rajeshwari Nagar,1280.0,3.0,2.0,57.6,3
Marathahalli,1910.0,3.0,3.0,119.0,3
Raja Rajeshwari Nagar,1580.0,3.0,3.0,53.56,3
Kanakpura Road,1420.0,3.0,3.0,68.0,3
Kanakpura Road,700.0,2.0,1.0,35.0,2
Uttarahalli,1689.28,3.0,2.0,91.2,3
Electronic City,1128.0,2.0,1.0,65.7,2
Sarjapur  Road,1819.0,3.0,2.0,100.0,3
Raja Rajeshwari Nagar,1050.0,2.0,2.0,37.0,2
Whitefield,1155.0,2.0,1.0,39.0,2
Sarjapur  Road,1489.0,2.0,3.0,82.0,3
Sarjapur  Road,1220.0,3.0,2.0,62.0,3
Sarjapur  Road,1157.0,2.0,1.0,75.0,3
Uttarahalli,1250.0,2.0,2.0,50.0,3
Yelahanka,1250.0,2.0,2.0,40.0,2
Raja Rajeshwari Nagar,1335.0,2.0,1.0,56.0,3
Bannerghatta Road,1270.0,2.0,1.0,73.0,3
Sarjapur  Road,1249.0,3.0,2.0,44.71,3
Electronic City,1039.0,2.0,1.0,50.0,2
Whitefield,1350.0,3.0,2.0,54.0,3
Sarjapur  Road,1418.0,2.0,2.0,78.0,2
Yelahanka,1350.0,2.0,3.0,85.0,3
Raja Rajeshwari Nagar,1400.0,2.0,2.0,86.0,3
Marathahalli,1215.0,2.0,2.0,58.86,2
Sarjapur  Road,1984.0,4.0,1.0,145.0,3
Whitefield,1500.0,3.0,1.0,71.0,3
Kanakpura Road,1610.0,2.0,2.0,55.0,3
Whitefield,1558.0,3.0,2.0,90.0,3
Whitefield,1200.0,2.0,1.0,45.84,2
7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2
Electronic City Phase II,1611.0,2.0,2.0,48.33,3
Hennur Road,1232.0,2.0,1.0,74.0,2
Thanisandra,777.0,1.0,0.0,38.46,1
Haralur Road,1300.0,2.0,2.0,73.0,2
Sarjapur  Road,1455.0,2.0,1.0,98.0,3
Sarjapur  Road,1000.0,2.0,2.0,40.0,2
Uttarahalli,1120.0,2.0,1.0,50.0,2
Whitefield,613.0,1.0,1.0,48.0,1
Whitefield,1260.0,2.0,2.0,49.5,2
Whitefield,1205.0,2.0,1.0,41.0,2
Kanakpura Road,983.0,2.0,1.0,50.6,2
Whitefield,1216.0,2.0,1.0,75.0,2
Sarjapur  Road,1403.0,3.0,3.0,51.63,3
Whitefield,1760.0,3.0,2.0,160.0,3
Whitefield,982.0,2.0,1.0,37.0,2
Whitefield,1173.0,2.0,1.0,77.0,2
Raja Rajeshwari Nagar,1157.0,2.0,1.0,53.8,2
Marathahalli,1102.0,2.0,2.0,53.67,2
Whitefield,1200.0,3.0,1.0,68.4,3
Marathahalli,1735.0,3.0,2.0,72.0,3
Whitefield,1295.0,2.0,3.0,78.5,2
Whitefield,1626.0,3.0,3.0,85.0,3
Whitefield,1500.0,3.0,1.0,61.9,3
Kanakpura Road,381.0,1.0,0.0,28.0,1
Hennur Road,973.0,2.0,1.0,50.74,2
Electronic City Phase II,1400.0,2.0,2.0,40.44,3
7th Phase JP Nagar,1174.0,2.0,1.0,47.0,2
Sarjapur  Road,1150.0,2.0,1.0,48.5,2
Raja Rajeshwari Nagar,1255.0,2.0,1.0,53.87,2
Yelahanka,1075.0,2.0,1.0,51.5,2
Sarjapur  Road,1320.0,2.0,2.0,115.0,2
Electronic City,1128.0,2.0,1.0,68.75,2
Whitefield,1185.0,2.0,2.0,56.0,2
Electronic City Phase II,1244.0,2.0,1.0,55.0,2
Whitefield,1216.0,2.0,1.0,80.0,2
Kanakpura Road,1482.0,3.0,3.0,60.98,3
Electronic City Phase II,1286.0,2.0,2.0,69.0,2
Thanisandra,1100.0,2.0,1.0,48.0,2
Whitefield,605.0,1.0,1.0,40.0,1
Whitefield,1200.0,2.0,1.0,45.0,2
Sarjapur  Road,1290.0,2.0,2.0,88.0,2
Raja Rajeshwari Nagar,1255.0,2.0,2.0,42.54,2
Uttarahalli,1200.0,3.0,1.0,50.0,3
7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3
Kanakpura Road,1330.74,2.0,2.0,91.79,2
Sarjapur  Road,1763.25,3.0,3.0,98.0,3
Marathahalli,1325.0,2.0,2.0,71.55,2
Thanisandra,1200.0,2.0,2.0,46.0,2
Electronic City,1070.0,2.0,1.0,54.0,2
Marathahalli,1469.0,3.0,1.0,89.0,3
Sarjapur  Road,1586.0,3.0,3.0,70.0,3
Bannerghatta Road,1275.0,2.0,1.0,73.0,2
Hennur Road,1195.0,2.0,2.0,59.0,2
Haralur Road,1056.0,2.0,1.0,61.0,2
Hennur Road,1832.0,3.0,1.0,125.0,3
Marathahalli,1435.0,3.0,1.0,73.0,3
Thanisandra,1140.0,2.0,1.0,59.0,2
Electronic City,550.0,1.0,1.0,12.0,1
Whitefield,877.0,1.0,1.0,59.0,1
Uttarahalli,1040.0,2.0,2.0,36.4,2
Marathahalli,1469.0,3.0,1.0,89.0,3
Bannerghatta Road,1160.0,2.0,2.0,45.0,2
Whitefield,1345.0,2.0,2.0,57.0,3
Sarjapur  Road,2145.0,3.0,3.0,180.0,3
Bannerghatta Road,1893.0,3.0,2.0,100.0,3
Sarjapur  Road,1691.0,3.0,2.0,100.0,3
Marathahalli,1270.0,2.0,3.0,73.0,2
Whitefield,1635.0,2.0,2.0,85.0,3
Thanisandra,1801.0,3.0,1.0,115.0,3
Whitefield,1650.0,3.0,2.0,60.0,3
Marathahalli,1144.0,2.0,2.0,65.0,2
Thanisandra,1573.0,3.0,2.0,98.0,3
Haralur Road,1464.0,3.0,3.0,56.0,3
Sarjapur  Road,1403.0,3.0,3.0,51.63,3
Electronic City,1020.0,2.0,2.0,29.46,2
Yelahanka,1330.0,2.0,1.0,93.65,2
Thanisandra,1262.0,2.0,1.0,65.0,3
Whitefield,1155.0,2.0,1.0,60.0,2
Haralur Road,1202.0,2.0,1.0,53.0,2
Electronic City,1025.0,2.0,1.0,54.0,2
7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2
Sarjapur  Road,1826.0,3.0,2.0,125.0,3
Thanisandra,1732.0,3.0,1.0,85.73,3
Marathahalli,950.0,2.0,1.0,46.96,2
Haralur Road,1650.0,3.0,3.0,100.0,3
Whitefield,1012.0,2.0,1.0,58.0,2
7th Phase JP Nagar,1187.0,2.0,1.0,59.0,2
Kanakpura Road,1452.0,3.0,3.0,54.2,3
Electronic City Phase II,1205.0,2.0,1.0,75.0,2
Raja Rajeshwari Nagar,1303.0,2.0,2.0,44.17,2
Electronic City,1070.0,2.0,1.0,57.0,2
Yelahanka,1360.0,2.0,1.0,78.19,2
Whitefield,2210.0,3.0,2.0,156.0,3
Whitefield,1745.0,3.0,3.0,100.0,3
Whitefield,1340.0,2.0,2.0,41.0,2
Electronic City,919.0,2.0,2.0,35.0,2
Whitefield,1495.0,3.0,3.0,88.0,2
Whitefield,1280.0,2.0,0.0,85.0,2
Electronic City Phase II,1220.0,3.0,1.0,36.6,3
Sarjapur  Road,1163.0,2.0,2.0,62.0,3
Sarjapur  Road,1309.0,2.0,3.0,69.5,2
Yelahanka,1170.0,2.0,1.0,62.5,2
Electronic City,589.0,1.0,1.0,29.0,1
Electronic City,1200.0,3.0,1.0,90.0,3
Kanakpura Road,900.0,2.0,1.0,46.0,2
Uttarahalli,1590.0,3.0,2.0,57.0,3
Marathahalli,1365.0,2.0,2.0,73.0,2
Marathahalli,1350.0,2.0,1.0,89.0,2
Whitefield,1170.0,2.0,1.0,71.0,2
Haralur Road,2017.0,2.0,2.0,125.0,3
Electronic City Phase II,1140.0,2.0,1.0,33.06,2
Electronic City Phase II,1160.0,2.0,1.0,33.5,2
Haralur Road,1194.0,2.0,2.0,47.0,2
Haralur Road,1092.0,2.0,2.0,44.0,2
7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
Whitefield,1216.0,2.0,1.0,73.0,2
Uttarahalli,1280.0,2.0,2.0,60.0,3
Haralur Road,1243.0,2.0,2.0,46.0,2
Haralur Road,1027.0,1.0,2.0,44.0,2
Bannerghatta Road,960.0,2.0,3.0,58.0,2
Electronic City,1096.0,2.0,2.0,39.0,2
Marathahalli,1693.0,3.0,2.0,125.0,3
Electronic City,1128.0,2.0,1.0,65.49,2
Electronic City,630.0,1.0,1.0,40.5,1
Thanisandra,1800.0,4.0,1.0,125.0,3
Thanisandra,2050.0,3.0,1.0,145.0,3
Kanakpura Road,700.0,2.0,1.0,34.99,2
7th Phase JP Nagar,1050.0,2.0,1.0,42.0,2
Yelahanka,2100.0,4.0,1.0,180.0,4
Yelahanka,1300.0,2.0,2.0,69.23,2
Raja Rajeshwari Nagar,1178.0,2.0,1.0,75.0,2
Whitefield,810.0,1.0,0.0,21.0,1
Whitefield,1216.0,2.0,1.0,84.0,2
Sarjapur  Road,1845.0,4.0,1.0,110.0,3
Electronic City,970.0,2.0,2.0,34.0,2
Haralur Road,1510.0,3.0,2.0,83.05,3
Hebbal,1349.0,2.0,1.0,98.0,2
Sarjapur  Road,1691.0,3.0,2.0,119.0,3
Electronic City Phase II,1000.0,2.0,1.0,28.88,2
Electronic City,550.0,1.0,1.0,15.0,2
Thanisandra,1305.0,2.0,2.0,90.0,2
Hennur Road,1290.0,2.0,1.0,94.5,3
Uttarahalli,1350.0,2.0,3.0,47.24,3
Sarjapur  Road,1145.0,2.0,2.0,49.5,2
Whitefield,1190.0,2.0,2.0,41.0,2
Bannerghatta Road,1380.0,3.0,0.0,58.0,4
Thanisandra,1732.0,3.0,1.0,112.0,3
Uttarahalli,1345.0,2.0,1.0,47.0,3
Kanakpura Road,1703.0,3.0,2.0,130.0,3
Thanisandra,1093.0,2.0,1.0,68.1,2
Thanisandra,662.0,1.0,1.0,29.0,1
Electronic City,1160.0,2.0,1.0,33.5,2
Haralur Road,1300.0,2.0,2.0,75.0,2
Uttarahalli,1390.0,2.0,2.0,61.16,3
7th Phase JP Nagar,2100.0,3.0,2.0,190.0,3
Thanisandra,933.0,2.0,1.0,58.0,1
Whitefield,1173.0,2.0,1.0,60.0,2
Electronic City,1025.0,2.0,1.0,46.0,2
Thanisandra,1110.0,2.0,2.0,46.5,2
Kanakpura Road,1100.0,3.0,2.0,58.0,3
Kanakpura Road,1500.0,3.0,1.0,72.99,3
Whitefield,1216.0,2.0,1.0,75.0,2
Yelahanka,1322.0,2.0,2.0,80.0,2
Whitefield,1216.0,2.0,1.0,66.88,2
Sarjapur  Road,1311.0,2.0,1.0,78.0,2
Sarjapur  Road,1260.0,2.0,2.0,53.0,2
Whitefield,1185.0,2.0,2.0,40.0,2
Yelahanka,1610.0,3.0,1.0,115.0,3
Sarjapur  Road,1028.0,2.0,1.0,56.0,2
Electronic City,1200.0,2.0,1.0,34.65,2
Thanisandra,1698.0,3.0,2.0,107.0,3
Sarjapur  Road,1335.0,2.0,1.0,95.0,2
Raja Rajeshwari Nagar,1196.0,2.0,2.0,51.51,2
Marathahalli,1535.0,3.0,2.0,72.5,3
Bannerghatta Road,1655.0,3.0,3.0,95.0,3
7th Phase JP Nagar,1515.0,2.0,1.0,76.0,3
Uttarahalli,1700.0,3.0,2.0,88.0,3
Electronic City,1140.0,2.0,1.0,32.92,2
Sarjapur  Road,1660.0,2.0,2.0,116.0,3
Sarjapur  Road,1725.0,3.0,3.0,90.0,3
Electronic City,630.0,1.0,1.0,60.0,1
7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3
Haralur Road,1027.0,2.0,2.0,44.0,2
Kanakpura Road,1420.0,2.0,2.0,75.0,3
Thanisandra,1380.0,1.0,1.0,62.1,1
Yelahanka,1390.0,2.0,2.0,70.21,2
Electronic City,1070.0,2.0,1.0,60.0,2
Marathahalli,800.0,4.0,2.0,86.0,4
Kanakpura Road,1450.0,3.0,3.0,60.91,3
Hebbal,1355.0,3.0,1.0,83.87,3
Sarjapur  Road,1510.0,2.0,1.0,110.0,3
Yelahanka,1226.0,2.0,2.0,52.71,2
Marathahalli,1315.0,2.0,2.0,60.0,3
Electronic City,1342.0,2.0,1.0,72.0,2
Kanakpura Road,1225.0,2.0,2.0,60.0,2
Whitefield,1760.0,3.0,2.0,139.0,3
Uttarahalli,1440.0,2.0,3.0,62.0,3
Yelahanka,1036.0,2.0,2.0,39.37,2
Bannerghatta Road,1465.0,2.0,1.0,75.0,3
Uttarahalli,1180.0,2.0,1.0,41.3,2
Whitefield,1306.0,3.0,2.0,54.65,3
Whitefield,1150.0,2.0,2.0,90.0,2
Whitefield,1405.0,2.0,1.0,78.0,3
Sarjapur  Road,1115.0,2.0,1.0,50.0,2
Electronic City,1350.0,2.0,1.0,56.0,3
Haralur Road,1243.0,2.0,1.0,46.0,2
Hebbal,1255.0,3.0,2.0,77.68,3
Whitefield,1170.0,2.0,1.0,56.0,2
Haralur Road,1309.0,2.0,1.0,82.0,2
Raja Rajeshwari Nagar,1133.0,2.0,2.0,38.41,2
7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3
Haralur Road,953.0,2.0,1.0,90.0,2
Thanisandra,965.0,2.0,1.0,54.0,2
Raja Rajeshwari Nagar,1120.0,2.0,2.0,37.95,2
Electronic City,825.0,2.0,1.0,35.0,2
Yelahanka,1355.0,2.0,3.0,75.0,3
Kanakpura Road,700.0,2.0,1.0,40.0,2
Hennur Road,1586.0,3.0,3.0,93.94,3
Kanakpura Road,1080.0,2.0,1.0,37.8,2
Whitefield,1346.0,2.0,1.0,76.01,2
Bannerghatta Road,1527.0,3.0,2.0,115.0,3
7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2
Whitefield,1254.0,2.0,2.0,40.0,2
Uttarahalli,1385.0,2.0,2.0,48.48,3
Marathahalli,1200.0,2.0,1.0,67.0,2
Kanakpura Road,1230.0,2.0,1.0,85.0,2
Raja Rajeshwari Nagar,1128.0,2.0,1.0,48.79,2
Bannerghatta Road,1655.0,2.0,2.0,62.89,3
Whitefield,1639.5,3.0,0.0,92.63,3
Raja Rajeshwari Nagar,1303.0,2.0,1.0,55.79,2
Thanisandra,1430.0,2.0,2.0,51.48,3
Whitefield,1650.0,3.0,2.0,48.0,3
Uttarahalli,1050.0,2.0,1.0,42.0,2
Bannerghatta Road,1788.0,3.0,2.0,90.0,3
Yelahanka,1603.0,3.0,2.0,96.0,3
Sarjapur  Road,1750.0,3.0,3.0,99.0,3
Kanakpura Road,1300.0,2.0,3.0,69.0,3
Kanakpura Road,1938.0,3.0,3.0,92.69,3
Haralur Road,575.0,1.0,1.0,38.0,1
Electronic City,635.0,1.0,0.0,28.0,1
Whitefield,1216.0,2.0,1.0,83.0,2
Uttarahalli,1125.0,2.0,1.0,47.0,2
Whitefield,1205.0,2.0,1.0,40.0,2
Electronic City,1128.0,2.0,1.0,65.45,2
Marathahalli,1610.0,3.0,1.0,90.0,3
Whitefield,1125.0,2.0,2.0,40.0,2
Hennur Road,2047.0,3.0,2.0,67.55,3
Hennur Road,1053.0,2.0,1.0,53.0,2
Hebbal,1255.0,2.0,1.0,95.0,3
7th Phase JP Nagar,1415.0,3.0,1.0,65.0,3
Whitefield,1180.0,2.0,1.0,77.0,2
Electronic City,550.0,1.0,1.0,15.0,2
Electronic City Phase II,1900.0,3.0,1.0,97.0,4
Whitefield,2135.0,3.0,2.0,149.0,4
Thanisandra,1340.0,2.0,1.0,66.33,2
Yelahanka,1616.0,3.0,1.0,65.0,3
